,Title,CWE,Description,Examples
0,CSRF Protection Weakened or Disabled,CWE-352,"Cross-site request forgery (CSRF) is a type of vulnerability where
attacker tricks user into submitting  a state change on
the server, such as changing the user's password via attacker's site. If the
web application relies only on cookies for authentication, or on other
credentials that are automatically included in the request, then this
request will appear as legitimate to the server.","MIDDLEWARE = [
    'django.middleware.security.SecurityMiddleware',
    'django.contrib.sessions.middleware.SessionMiddleware',
    'django.middleware.common.CommonMiddleware',
    # 'django.middleware.csrf.CsrfViewMiddleware',
    'django.contrib.auth.middleware.AuthenticationMiddleware',
    'django.contrib.messages.middleware.MessageMiddleware',
    'django.middleware.clickjacking.XFrameOptionsMiddleware',
]"
1,Using Broken or Weak Cryptographic Hashing Algorithm On Sensitive Data,CWE-327,"Using a broken or weak cryptographic hash function can leave sensitive data
like passwords and certificates
vulnerable to attacks. As an example, both MD5 and SHA-1 are 
known to be vulnerable to attacks.","import hashlib

def certificate_matches_known_hash_bad(certificate, known_hash):
    hash = hashlib.md5(certificate).hexdigest() # BAD
    return hash == known_hash

def certificate_matches_known_hash_good(certificate, known_hash):
    hash = hashlib.sha256(certificate).hexdigest() # GOOD
    return hash == known_hash
$$$
import hashlib

def get_password_hash(password: str, salt: str):
    return hashlib.sha256(password + salt).hexdigest() # BAD
$$$
from argon2 import PasswordHasher

def get_initial_hash(password: str):
    ph = PasswordHasher()
    return ph.hash(password) # GOOD

def check_password(password: str, known_hash):
    ph = PasswordHasher()
    return ph.verify(known_hash, password) # GOOD"
2,Incomplete Regular Expression for Hostnames,CWE-020,"Sanitizing untrusted URLs is common for preventing attacks by checking that
the host of a URL is in the set of allowed hosts. If a regex implements such
checks,being too permissive by not escaping '.' meta-characters can lead to
code vulnerabilities.","from flask import Flask, request, redirect
import re

app = Flask(__name__)

UNSAFE_REGEX = re.compile(""(www|beta).example.com/"")
SAFE_REGEX = re.compile(r""(www|beta)\.example\.com/"")

@app.route('/some/path/bad')
def unsafe(request):
    target = request.args.get('target', '')
    if UNSAFE_REGEX.match(target):
        return redirect(target)

@app.route('/some/path/good')
def safe(request):
    target = request.args.get('target', '')
    if SAFE_REGEX.match(target):
        return redirect(target)"
3,Deserialization of User-Controlled Data,CWE-502,"Automatic deserialization of fields means that an attacker may
craft a nested combination of objects on which the executed initialization code
may have unforeseen effects, such as the execution of arbitrary code.
Deserialization libraries like Pickle, Marshal and Yaml are vulnerable to this attack.","from django.conf.urls import url
import pickle

def unsafe(pickled):
    return pickle.loads(pickled)

urlpatterns = [
    url(r'^(?P<object>.*)$', unsafe)
]
$$$

from django.conf.urls import url
import json

def safe(pickled):
    return json.loads(pickled)

urlpatterns = [
    url(r'^(?P<object>.*)$', safe)
]"
4,Use of Weak Cryptographic Key,CWE-326,"With higher computation, cryptographic algorithms can be broken.
If the key sizes of algorithms RSA and DSA are less than 2048 bits and
for ECC if it is less than 256 bits, then the cryptographic key is vulnerable
to attacks.",NULL
5,SQL Query Built From User-Controlled Sources,CWE-089,"If SQL query is built from
user-provided data without checks, a user
can run malicious queries.","from django.conf.urls import url
from django.db import connection


def show_user(request, username):
    with connection.cursor() as cursor:
        # BAD -- Using string formatting
        cursor.execute(""SELECT * FROM users WHERE username = '%s'"" % username)
        user = cursor.fetchone()

        # GOOD -- Using parameters
        cursor.execute(""SELECT * FROM users WHERE username = %s"", username)
        user = cursor.fetchone()

        # BAD -- Manually quoting placeholder (%s)
        cursor.execute(""SELECT * FROM users WHERE username = '%s'"", username)
        user = cursor.fetchone()

urlpatterns = [url(r'^users/(?P<username>[^/]+)$', show_user)]"
6,Server-Side Request Forgery,CWE-918,"Directly using user input into an HTTP request without validation
can facilitate server-side request forgery (SSRF) attacks. In these attacks, the
request may be changed, directed at a different server, or via a different
protocol. This can allow the attacker to obtain sensitive information or perform
actions with escalated privilege.We make a distinctions between 
how much of the URL an attacker can control:
-Full SSRF: where the full URL can be controlled.
-Partial SSRF: where only part of the URL can be controlled, such as the
path component of a URL to a hardcoded domain.","import requests
from flask import Flask, request

app = Flask(__name__)

@app.route(""/full_ssrf"")
def full_ssrf():
    target = request.args[""target""]

    # BAD: user has full control of URL
    resp = requests.get(""https://"" + target + "".example.com/data/"")

    # GOOD: `subdomain` is controlled by the server.
    subdomain = ""europe"" if target == ""EU"" else ""world""
    resp = requests.get(""https://"" + subdomain + "".example.com/data/"")
$$$
import requests
from flask import Flask, request

app = Flask(__name__)

@app.route(""/partial_ssrf"")
def partial_ssrf():
    user_id = request.args[""user_id""]

    # BAD: user can fully control the path component of the URL
    resp = requests.get(""https://api.example.com/user_info/"" + user_id)

    if user_id.isalnum():
        # GOOD: user_id is restricted to be alpha-numeric, and cannot alter path component of URL
        resp = requests.get(""https://api.example.com/user_info/"" + user_id)"
7,Arbitrary File Write During Tarfile Extraction,CWE-022,"Tar archives contain entries where each entry
include a file path. These paths may not be restricted  contain
unexpected special elements like '..' for traversal. This might lead to files
written in unexpected location or sensitive information mishandled. For example, 
if a tar archive contains a file entry '..\sneaky-file;, and the tar archive
is extracted to 'c:\output', then naively combining the paths would result
in an output file path of 'c:\output\..\sneaky-file', which would cause the file to be
written to 'c:\sneaky-file'.","import sys
import tarfile

with tarfile.open(sys.argv[1]) as tar:
    #BAD : This could write any file on the filesystem.
    for entry in tar:
        tar.extract(entry, ""/tmp/unpack/"")
$$$
import sys
import tarfile
import os.path

with tarfile.open(sys.argv[1]) as tar:
    for entry in tar:
        #GOOD: Check that entry is safe
        if os.path.isabs(entry.name) or "".."" in entry.name:
            raise ValueError(""Illegal tar archive entry"")
        tar.extract(entry, ""/tmp/unpack/"")"
8,NoSQL Injection,CWE-943,"Passing user-controlled sources into NoSQL queries can result in a NoSQL injection flaw.
This tainted NoSQL query containing a user-controlled source can then 
execute a malicious query in a NoSQL database such as MongoDB.
In order for the user-controlled source to taint the NoSQL 
query, the user-controller source must be converted into a 
Python object using something like 'json.loads' or 'xmltodict.parse'",NULL
9,Request Without Certificate Validation,CWE-295,"Disabling the encryption certificate verification that TLS provides can create security issues.
Functions in the 'requests' module provide verification by default. It is only when
explicitly turned off using 'verify=False' that no verification occurs.","import requests

#Unsafe requests

requests.get('https://semmle.com', verify=False) # UNSAFE
requests.get('https://semmle.com', verify=0) # UNSAFE

#Various safe options

requests.get('https://semmle.com', verify=True) # Explicitly safe
requests.get('https://semmle.com', verify=""/path/to/cert/"")
requests.get('https://semmle.com') # The default is to verify.

#Wrapper to ensure safety

def make_safe_request(url, verify_cert):
    if not verify_cert:
        raise Exception(""Trying to make unsafe request"")
    return requests.get(url, verify_cert)"
10,XML Internal Entity Expansion,CWE-776,"If untrusted XML is parsed with entity expansion enabled, an attacker could
submit unsanitized input that contains deeply nested entity definitions, causing the parser
to take a very long time or use large amounts of memory, resulting in an XML bomb attack.
For instance, in 'lxml' library, if 'huge_tree' is set to 'True', it could result in this issue.",NULL
11,Regular Expression Injection,CWE-730,"Constructing a regular expression without user input sanitization techniques like 're.escape' 
is dangerous. In particular, user may be able to perfom DDoS attack using
a regular expression fragment that takes exponential time.",NULL
