,CWE,Title,Description,Extended Description,Examples
0,CWE-020,Improper Input Validation,"The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly. ","Input validation is a frequently-used technique for checking potentially dangerous inputs in order to ensure that the inputs are safe for processing within the code, or when communicating with other components. When software does not validate input properly, an attacker is able to craft the input in a form that is not expected by the rest of the application. This will lead to parts of the system receiving unintended input, which may result in altered control flow, arbitrary control of a resource, or arbitrary code execution. Input validation is not the only technique for processing input, however. Other techniques attempt to transform potentially-dangerous input into something safe, such as filtering (CWE-790) - which attempts to remove dangerous inputs - or encoding/escaping (CWE-116), which attempts to ensure that the input is not misinterpreted when it is included in output to another component. Other techniques exist as well (see CWE-138 for more examples.) Input validation can be applied to: raw data - strings, numbers, parameters, file contents, etc. metadata - information about the raw data, such as headers or size Data can be simple or structured. Structured data can be composed of many nested layers, composed of combinations of metadata and raw data, with other simple or structured data. Many properties of raw data or metadata may need to be validated upon entry into the code, such as: specified quantities such as size, length, frequency, price, rate, number of operations, time, etc. implied or derived quantities, such as the actual size of a file instead of a specified size indexes, offsets, or positions into more complex data structures symbolic keys or other elements into hash tables, associative arrays, etc. well-formedness, i.e. syntactic correctness - compliance with expected syntax lexical token correctness - compliance with rules for what is treated as a token specified or derived type - the actual type of the input (or what the input appears to be) consistency - between individual data elements, between raw data and metadata, between references, etc. conformance to domain-specific rules, e.g. business logic equivalence - ensuring that equivalent inputs are treated the same authenticity, ownership, or other attestations about the input, e.g. a cryptographic signature to prove the source of the data Implied or derived properties of data must often be calculated or inferred by the code itself. Errors in deriving properties may be considered a contributing factor to improper input validation. Note that ""input validation"" has very different meanings to different people, or within different classification schemes. Caution must be used when referencing this CWE entry or mapping to it. For example, some weaknesses might involve inadvertently giving control to an attacker over an input when they should not be able to provide an input at all, but sometimes this is referred to as input validation. Finally, it is important to emphasize that the distinctions between input validation and output escaping are often blurred, and developers must be careful to understand the difference, including how input validation is not always sufficient to prevent vulnerabilities, especially when less stringent data types must be supported, such as free-form text. Consider a SQL injection scenario in which a person's last name is inserted into a query. The name ""O'Reilly"" would likely pass the validation step since it is a common last name in the English language. However, this valid name cannot be directly inserted into the database because it contains the ""'"" apostrophe character, which would need to be escaped or otherwise transformed. In this case, removing the apostrophe might reduce the risk of SQL injection, but it would produce incorrect behavior because the wrong name would be recorded. ","Example 1
This example demonstrates a shopping interaction in which the user is free to specify the quantity of items to be purchased and a total is calculated.
(bad code)
Example Language: 
Java 


...
public static final double price = 20.00;
int quantity = currentUser.getAttribute(""quantity"");
double total = price * quantity;
chargeUser(total);
...


The user has no control over the price variable, however the code does not prevent a negative value from being specified for quantity. If an attacker were to provide a negative value, then the user would have their account credited instead of debited.
Example 2
This example asks the user for a height and width of an m X n game board with a maximum dimension of 100 squares.
(bad code)
Example Language: 
C 


...
#define MAX_DIM 100
...


/* board dimensions */




int m,n, error;
board_square_t *board;
printf(""Please specify the board height: \n"");
error = scanf(""%d"", &m);
if ( EOF == error ){
die(""No integer passed: Die evil hacker!\n"");
}
printf(""Please specify the board width: \n"");
error = scanf(""%d"", &n);
if ( EOF == error ){
die(""No integer passed: Die evil hacker!\n"");
}
if ( m > MAX_DIM || n > MAX_DIM ) {
die(""Value too large: Die evil hacker!\n"");
}
board = (board_square_t*) malloc( m * n * sizeof(board_square_t));
...


While this code checks to make sure the user cannot specify large, positive integers and consume too much memory, it does not check for negative values supplied by the user. As a result, an attacker can perform a resource consumption (
CWE-400
) attack against this program by specifying two, large negative values that will not overflow, resulting in a very large memory allocation (
CWE-789
) and possibly a system crash. Alternatively, an attacker can provide very large negative values which will cause an integer overflow (
CWE-190
) and unexpected behavior will follow depending on how the values are treated in the remainder of the program. 
Example 3
The following example shows a PHP application in which the programmer attempts to display a user's birthday and homepage.
(bad code)
Example Language: 
PHP 


$birthday = $_GET['birthday'];
$homepage = $_GET['homepage'];
echo ""Birthday: $birthday<br>Homepage: <a href=$homepage>click here</a>""


The programmer intended for $birthday to be in a date format and $homepage to be a valid URL. However, since the values are derived from an HTTP request, if an attacker can trick a victim into clicking a crafted URL with <script> tags providing the values for birthday and / or homepage, then the script will run on the client's browser when the web server echoes the content. Notice that even if the programmer were to defend the $birthday variable by restricting input to integers and dashes, it would still be possible for an attacker to provide a string of the form:
(attack code)
 


2009-01-09--


If this data were used in a SQL statement, it would treat the remainder of the statement as a comment. The comment could disable other security-related logic in the statement. In this case, encoding combined with input validation would be a more useful protection mechanism.
Furthermore, an XSS (
CWE-79
) attack or SQL injection (
CWE-89
) are just a few of the potential consequences when input validation is not used. Depending on the context of the code, CRLF Injection (
CWE-93
), Argument Injection (
CWE-88
), or Command Injection (
CWE-77
) may also be possible. 
Example 4
The following example takes a user-supplied value to allocate an array of objects and then operates on the array.
(bad code)
Example Language: 
Java 


private void buildList ( int untrustedListSize ){
if ( 0 > untrustedListSize ){
die(""Negative value supplied for list size, die evil hacker!"");
}
Widget[] list = new Widget [ untrustedListSize ];
list[0] = new Widget();
}


This example attempts to build a list from a user-specified value, and even checks to ensure a non-negative value is supplied. If, however, a 0 value is provided, the code will build an array of size 0 and then try to store a new Widget in the first location, causing an exception to be thrown.
Example 5
This Android application has registered to handle a URL when sent an intent:
(bad code)
Example Language: 
Java 






...


IntentFilter filter = new IntentFilter(""com.example.URLHandler.openURL"");
MyReceiver receiver = new MyReceiver();
registerReceiver(receiver, filter);


...




public class UrlHandlerReceiver extends BroadcastReceiver {


@Override
public void onReceive(Context context, Intent intent) {


if(""com.example.URLHandler.openURL"".equals(intent.getAction())) {
String URL = intent.getStringExtra(""URLToOpen"");
int length = URL.length();




...


}


}


}


The application assumes the URL will always be included in the intent. When the URL is not present, the call to getStringExtra() will return null, thus causing a null pointer exception when length() is called."
1,CWE-022,Improper Limitation of a Pathname to a Restricted Directory,"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory. ","Many file operations are intended to take place within a restricted directory. By using special elements such as "".."" and ""/"" separators, attackers can escape outside of the restricted location to access files or directories that are elsewhere on the system. One of the most common special elements is the ""../"" sequence, which in most modern operating systems is interpreted as the parent directory of the current location. This is referred to as relative path traversal. Path traversal also covers the use of absolute pathnames such as ""/usr/local/bin"", which may also be useful in accessing unexpected files. This is referred to as absolute path traversal. In many programming languages, the injection of a null byte (the 0 or NUL) may allow an attacker to truncate a generated filename to widen the scope of attack. For example, the product may add "".txt"" to any pathname, thus limiting the attacker to text files, but a null injection may effectively remove this restriction. ","Example 1
The following code could be for a social networking application in which each user's profile information is stored in a separate file. All files are stored in a single directory.
(bad code)
Example Language: 
Perl 


my $dataPath = ""/users/cwe/profiles"";
my $username = param(""user"");
my $profilePath = $dataPath . ""/"" . $username;


open(my $fh, ""<"", $profilePath) || ExitError(""profile read error: $profilePath"");
print ""<ul>\n"";
while (<$fh>) {
print ""<li>$_</li>\n"";
}
print ""</ul>\n"";


While the programmer intends to access files such as ""/users/cwe/profiles/alice"" or ""/users/cwe/profiles/bob"", there is no verification of the incoming user parameter. An attacker could provide a string such as:
(attack code)
 


../../../etc/passwd


The program would generate a profile pathname like this:
(result)
 


/users/cwe/profiles/../../../etc/passwd


When the file is opened, the operating system resolves the ""../"" during path canonicalization and actually accesses this file:
(result)
 


/etc/passwd


As a result, the attacker could read the entire text of the password file.
Notice how this code also contains an error message information leak (
CWE-209
) if the user parameter does not produce a file that exists: the full pathname is provided. Because of the lack of output encoding of the file that is retrieved, there might also be a cross-site scripting problem (
CWE-79
) if profile contains any HTML, but other code would need to be examined. 
Example 2
In the example below, the path to a dictionary file is read from a system property and used to initialize a File object.
(bad code)
Example Language: 
Java 


String filename = System.getProperty(""com.domain.application.dictionaryFile"");
File dictionaryFile = new File(filename);


However, the path is not validated or modified to prevent it from containing relative or absolute path sequences before creating the File object. This allows anyone who can control the system property to determine what file is used. Ideally, the path should be resolved relative to some kind of application or user home directory.
Example 3
The following code takes untrusted input and uses a regular expression to filter ""../"" from the input. It then appends this result to the /home/user/ directory and attempts to read the file in the final resulting path.
(bad code)
Example Language: 
Perl 


my $Username = GetUntrustedInput();
$Username =~ s/\.\.\///;
my $filename = ""/home/user/"" . $Username;
ReadAndSendFile($filename);


Since the regular expression does not have the /g global match modifier, it only removes the first instance of ""../"" it comes across. So an input value such as:
(attack code)
 


../../../etc/passwd


will have the first ""../"" stripped, resulting in:
(result)
 


../../etc/passwd


This value is then concatenated with the /home/user/ directory:
(result)
 


/home/user/../../etc/passwd


which causes the /etc/passwd file to be retrieved once the operating system has resolved the ../ sequences in the pathname. This leads to relative path traversal (
CWE-23
). 
Example 4
The following code attempts to validate a given input path by checking it against an allowlist and once validated delete the given file. In this specific case, the path is considered valid if it starts with the string ""/safe_dir/"".
(bad code)
Example Language: 
Java 


String path = getInputPath();
if (path.startsWith(""/safe_dir/""))
{
File f = new File(path);
f.delete()
}


An attacker could provide an input such as this:
(attack code)
 


/safe_dir/../important.dat


The software assumes that the path is valid because it starts with the ""/safe_path/"" sequence, but the ""../"" sequence will cause the program to delete the important.dat file in the parent directory
Example 5
The following code demonstrates the unrestricted upload of a file with a Java servlet and a path traversal vulnerability. The action attribute of an HTML form is sending the upload file request to the Java servlet.
(good code)
Example Language: 
HTML 


<form action=""FileUploadServlet"" method=""post"" enctype=""multipart/form-data"">


Choose a file to upload:
<input type=""file"" name=""filename""/>
<br/>
<input type=""submit"" name=""submit"" value=""Submit""/>


</form>


When submitted the Java servlet's doPost method will receive the request, extract the name of the file from the Http request header, read the file contents from the request and output the file to the local upload directory.
(bad code)
Example Language: 
Java 


public class FileUploadServlet extends HttpServlet {




...


protected void doPost(HttpServletRequest request, HttpServletResponse response) throws ServletException, IOException {




response.setContentType(""text/html"");
PrintWriter out = response.getWriter();
String contentType = request.getContentType();


// the starting position of the boundary header
int ind = contentType.indexOf(""boundary="");
String boundary = contentType.substring(ind+9);


String pLine = new String();
String uploadLocation = new String(UPLOAD_DIRECTORY_STRING); //Constant value


// verify that content type is multipart form data
if (contentType != null && contentType.indexOf(""multipart/form-data"") != -1) {




// extract the filename from the Http header
BufferedReader br = new BufferedReader(new InputStreamReader(request.getInputStream()));
...
pLine = br.readLine();
String filename = pLine.substring(pLine.lastIndexOf(""\\""), pLine.lastIndexOf(""\""""));
...


// output the file to the local upload directory
try {


BufferedWriter bw = new BufferedWriter(new FileWriter(uploadLocation+filename, true));
for (String line; (line=br.readLine())!=null; ) {
if (line.indexOf(boundary) == -1) {
bw.write(line);
bw.newLine();
bw.flush();
}
} //end of for loop
bw.close();






} catch (IOException ex) {...}
// output successful upload response HTML page


}
// output unsuccessful upload response HTML page
else
{...}


}
...




}


This code does not perform a check on the type of the file being uploaded (
CWE-434
). This could allow an attacker to upload any executable file or other file with malicious code. 
Additionally, the creation of the BufferedWriter object is subject to relative path traversal (
CWE-23
). Since the code does not check the filename that is provided in the header, an attacker can use ""../"" sequences to write to files outside of the intended directory. Depending on the executing environment, the attacker may be able to specify arbitrary files to write to, leading to a wide variety of consequences, from code execution, XSS (
CWE-79
), or system crash. 
Example 6
This script intends to read a user-supplied file from the current directory. The user inputs the relative path to the file and the script uses Python's os.path.join() function to combine the path to the current working directory with the provided path to the specified file. This results in an absolute path to the desired file. If the file does not exist when the script attempts to read it, an error is printed to the user.
(bad code)
Example Language: 
Python 



                  import os

                  import sys

                  def main():



                     filename = sys.argv[1]

                     path = os.path.join(os.getcwd(), filename)

                     try:



                        with open(path, 'r') as f:



                           file_data = f.read()





                     except FileNotFoundError as e:



                        print(""Error - file not found"")





                  main()
                  


However, if the user supplies an absolute path, the os.path.join() function will discard the path to the current working directory and use only the absolute path provided. For example, if the current working directory is /home/user/documents, but the user inputs /etc/passwd, os.path.join() will use only /etc/passwd, as it is considered an absolute path. In the above scenario, this would cause the script to access and read the /etc/passwd file.
(good code)
Example Language: 
Python 



                     import os

                     import sys

                     def main():



                        filename = sys.argv[1]

                        path = os.path.normpath(f""{os.getcwd()}{os.sep}{filename}"")

                        try:



                           with open(path, 'r') as f:



                              file_data = f.read()





                        except FileNotFoundError as e:



                           print(""Error - file not found"")





                     main()
                     


The constructed path string uses os.sep to add the appropriate separation character for the given operating system (e.g. '\' or '/') and the call to os.path.normpath() removes any additional slashes that may have been entered - this may occur particularly when using a Windows path. By putting the pieces of the path string together in this fashion, the script avoids a call to os.path.join() and any potential issues that might arise if an absolute path is entered. With this version of the script, if the current working directory is /home/user/documents, and the user inputs /etc/passwd, the resulting path will be /home/user/documents/etc/passwd. The user is therefore contained within the current working directory as intended."
2,CWE-023,Relative Path Traversal,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize sequences such as "".."" that can resolve to a location that is outside of that directory. ",This allows attackers to traverse the file system to access files or directories that are outside of the restricted directory. ,"Example 1
The following URLs are vulnerable to this attack:
(bad code)
 


http://example.com.br/get-files.jsp?file=report.pdf
http://example.com.br/get-page.php?home=aaa.html
http://example.com.br/some-page.asp?page=index.html


A simple way to execute this attack is like this:
(attack code)
 


http://example.com.br/get-files?file=../../../../somedir/somefile
http://example.com.br/../../../../etc/shadow
http://example.com.br/get-files?file=../../../../etc/passwd


Example 2
The following code could be for a social networking application in which each user's profile information is stored in a separate file. All files are stored in a single directory.
(bad code)
Example Language: 
Perl 


my $dataPath = ""/users/cwe/profiles"";
my $username = param(""user"");
my $profilePath = $dataPath . ""/"" . $username;


open(my $fh, ""<"", $profilePath) || ExitError(""profile read error: $profilePath"");
print ""<ul>\n"";
while (<$fh>) {
print ""<li>$_</li>\n"";
}
print ""</ul>\n"";


While the programmer intends to access files such as ""/users/cwe/profiles/alice"" or ""/users/cwe/profiles/bob"", there is no verification of the incoming user parameter. An attacker could provide a string such as:
(attack code)
 


../../../etc/passwd


The program would generate a profile pathname like this:
(result)
 


/users/cwe/profiles/../../../etc/passwd


When the file is opened, the operating system resolves the ""../"" during path canonicalization and actually accesses this file:
(result)
 


/etc/passwd


As a result, the attacker could read the entire text of the password file.
Notice how this code also contains an error message information leak (
CWE-209
) if the user parameter does not produce a file that exists: the full pathname is provided. Because of the lack of output encoding of the file that is retrieved, there might also be a cross-site scripting problem (
CWE-79
) if profile contains any HTML, but other code would need to be examined. 
Example 3
The following code demonstrates the unrestricted upload of a file with a Java servlet and a path traversal vulnerability. The action attribute of an HTML form is sending the upload file request to the Java servlet.
(good code)
Example Language: 
HTML 


<form action=""FileUploadServlet"" method=""post"" enctype=""multipart/form-data"">


Choose a file to upload:
<input type=""file"" name=""filename""/>
<br/>
<input type=""submit"" name=""submit"" value=""Submit""/>


</form>


When submitted the Java servlet's doPost method will receive the request, extract the name of the file from the Http request header, read the file contents from the request and output the file to the local upload directory.
(bad code)
Example Language: 
Java 


public class FileUploadServlet extends HttpServlet {




...


protected void doPost(HttpServletRequest request, HttpServletResponse response) throws ServletException, IOException {




response.setContentType(""text/html"");
PrintWriter out = response.getWriter();
String contentType = request.getContentType();


// the starting position of the boundary header
int ind = contentType.indexOf(""boundary="");
String boundary = contentType.substring(ind+9);


String pLine = new String();
String uploadLocation = new String(UPLOAD_DIRECTORY_STRING); //Constant value


// verify that content type is multipart form data
if (contentType != null && contentType.indexOf(""multipart/form-data"") != -1) {




// extract the filename from the Http header
BufferedReader br = new BufferedReader(new InputStreamReader(request.getInputStream()));
...
pLine = br.readLine();
String filename = pLine.substring(pLine.lastIndexOf(""\\""), pLine.lastIndexOf(""\""""));
...


// output the file to the local upload directory
try {


BufferedWriter bw = new BufferedWriter(new FileWriter(uploadLocation+filename, true));
for (String line; (line=br.readLine())!=null; ) {
if (line.indexOf(boundary) == -1) {
bw.write(line);
bw.newLine();
bw.flush();
}
} //end of for loop
bw.close();






} catch (IOException ex) {...}
// output successful upload response HTML page


}
// output unsuccessful upload response HTML page
else
{...}


}
...




}


This code does not perform a check on the type of the file being uploaded (
CWE-434
). This could allow an attacker to upload any executable file or other file with malicious code. 
Additionally, the creation of the BufferedWriter object is subject to relative path traversal (
CWE-23
). Since the code does not check the filename that is provided in the header, an attacker can use ""../"" sequences to write to files outside of the intended directory. Depending on the executing environment, the attacker may be able to specify arbitrary files to write to, leading to a wide variety of consequences, from code execution, XSS (
CWE-79
), or system crash. "
3,CWE-024,Path Traversal: '../filedir',"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize ""../"" sequences that can resolve to a location that is outside of that directory. ","This allows attackers to traverse the file system to access files or directories that are outside of the restricted directory. The ""../"" manipulation is the canonical manipulation for operating systems that use ""/"" as directory separators, such as UNIX- and Linux-based systems. In some cases, it is useful for bypassing protection schemes in environments for which ""/"" is supported but not the primary separator, such as Windows, which uses ""\"" but can also accept ""/"". ",
4,CWE-025,Path Traversal: '/../filedir',"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize ""/../"" sequences that can resolve to a location that is outside of that directory. ","This allows attackers to traverse the file system to access files or directories that are outside of the restricted directory. Sometimes a program checks for ""../"" at the beginning of the input, so a ""/../"" can bypass that check. ",
5,CWE-026,Path Traversal: '/dir/../filename',"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize ""/dir/../filename"" sequences that can resolve to a location that is outside of that directory. ","This allows attackers to traverse the file system to access files or directories that are outside of the restricted directory. The '/dir/../filename' manipulation is useful for bypassing some path traversal protection schemes. Sometimes a program only checks for ""../"" at the beginning of the input, so a ""/../"" can bypass that check. ",
6,CWE-027,Path Traversal: 'dir/../../filename',"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize multiple internal ""../"" sequences that can resolve to a location that is outside of that directory. ","This allows attackers to traverse the file system to access files or directories that are outside of the restricted directory. The 'directory/../../filename' manipulation is useful for bypassing some path traversal protection schemes. Sometimes a program only removes one ""../"" sequence, so multiple ""../"" can bypass that check. Alternately, this manipulation could be used to bypass a check for ""../"" at the beginning of the pathname, moving up more than one directory level. ",
7,CWE-028,Path Traversal: '..\filedir',"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize ""..\"" sequences that can resolve to a location that is outside of that directory. ","This allows attackers to traverse the file system to access files or directories that are outside of the restricted directory. The '..\' manipulation is the canonical manipulation for operating systems that use ""\"" as directory separators, such as Windows. However, it is also useful for bypassing path traversal protection schemes that only assume that the ""/"" separator is valid. ",
8,CWE-029,Path Traversal: '\..\filename',"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '\..\filename' (leading backslash dot dot) sequences that can resolve to a location that is outside of that directory. ","This allows attackers to traverse the file system to access files or directories that are outside of the restricted directory. This is similar to CWE-25, except using ""\"" instead of ""/"". Sometimes a program checks for ""..\"" at the beginning of the input, so a ""\..\"" can bypass that check. It is also useful for bypassing path traversal protection schemes that only assume that the ""/"" separator is valid. ",
9,CWE-030,Path Traversal: '\dir\..\filename',"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '\dir\..\filename' (leading backslash dot dot) sequences that can resolve to a location that is outside of that directory. ","This allows attackers to traverse the file system to access files or directories that are outside of the restricted directory. This is similar to CWE-26, except using ""\"" instead of ""/"". The '\dir\..\filename' manipulation is useful for bypassing some path traversal protection schemes. Sometimes a program only checks for ""..\"" at the beginning of the input, so a ""\..\"" can bypass that check. ",
